dt,N2O_ppb,d15Nbulk_permil,SP_permil,d18O_permil,sd_N2O_ppb,sd_d15Nbulk_permil,sd_SP_permil,sd_d18O_permil,n_N2O_ppb,n_d15Nbulk_permil,n_SP_permil,n_d18O_permil
1740.0,275.2501463334623,,,,2.4746610226816883,9.090909090909092,1.9350000000000005,5.555555555555555,6.0,,,
1765.0,273.005,9.25868,,,5.55908940385023,1.6666666666666667,1.9350000000000005,5.555555555555555,8.0,1.0,,
1790.0,272.7909689545982,10.3224125,,,4.763438806432735,0.5213197436974255,1.9350000000000005,5.555555555555555,17.0,4.0,,
1815.0,271.6852827408267,9.84958,,,4.840534868080656,1.6666666666666667,1.9350000000000005,5.555555555555555,10.0,1.0,,
1840.0,272.80337450013104,,,,3.5321683624515656,9.090909090909092,1.9350000000000005,5.555555555555555,22.0,,,
1865.0,275.46167353858056,,,,3.8115991979188784,9.090909090909092,1.9350000000000005,5.555555555555555,14.0,,,
1890.0,278.08242851911956,9.26863,,,4.507136216043173,0.4808434125159666,1.9350000000000005,5.555555555555555,28.0,5.0,,
1915.0,285.91166759306407,9.068392224583201,17.17284395418875,45.34,3.6411589328326337,0.35607149029990914,0.8333333333333334,4.0,39.0,4.0,1.0,1.0
1940.0,288.2502195001934,7.285665,,,2.5,0.7110849999999997,1.9350000000000005,5.555555555555555,2.0,2.0,,
1942.0,,,,,5.55908940385023,9.090909090909092,1.9350000000000005,5.555555555555555,,,,
1944.0,289.0334796667956,,,,0.5105085478513274,9.090909090909092,1.9350000000000005,5.555555555555555,3.0,,,
1946.0,,,,,5.55908940385023,9.090909090909092,1.9350000000000005,5.555555555555555,,,,
1948.0,288.087664625145,,,,2.8796295139550567,9.090909090909092,1.9350000000000005,5.555555555555555,4.0,,,
1950.0,288.7502195001934,,,,0.0,9.090909090909092,1.9350000000000005,5.555555555555555,2.0,,,
1952.0,290.9251097500967,9.428,,,2.1748902499033136,1.6666666666666667,1.9350000000000005,5.555555555555555,2.0,1.0,,
1954.0,291.36266462514504,8.729883893020602,19.982843954188752,45.09,1.8440110746217941,9.090909090909092,1.1764705882352942,5.555555555555555,4.0,1.0,1.0,1.0
1956.0,290.6151317001161,9.019883893020602,16.832843954188746,45.01,3.1652287035716244,6.666666666666667,0.8333333333333334,4.0,7.0,1.0,1.0,1.0
1958.0,293.7502195001934,7.77642,,,2.160246899469287,1.6666666666666667,1.9350000000000005,5.555555555555555,3.0,1.0,,
1960.0,290.2751097500967,,,,0.5248902499033079,9.090909090909092,1.9350000000000005,5.555555555555555,2.0,,,
1962.0,291.9668130001289,,,,3.0046204678147106,9.090909090909092,1.9350000000000005,5.555555555555555,3.0,,,
1964.0,294.9500731667311,9.029883893020601,16.612843954188747,45.0,1.9837867184758327,9.090909090909092,1.1764705882352942,5.555555555555555,3.0,1.0,1.0,1.0
1966.0,294.5002195001934,,,,0.82915619758885,9.090909090909092,1.9350000000000005,5.555555555555555,4.0,,,
1968.0,292.06681300012895,,,,3.1146740689379064,9.090909090909092,1.9350000000000005,5.555555555555555,3.0,,,
1970.0,296.4668130001289,8.519883893020602,19.56284395418875,44.62,0.9455317843815845,6.666666666666667,0.8333333333333334,4.166666666666667,3.0,1.0,1.0,1.0
1972.0,296.0334796667956,,,,4.5674387766233675,9.090909090909092,1.9350000000000005,5.555555555555555,3.0,,,
1974.0,297.7502195001934,,,,5.55908940385023,9.090909090909092,1.9350000000000005,5.555555555555555,1.0,,,
1976.0,300.10021950019336,,,,0.6500000000000057,9.090909090909092,1.9350000000000005,5.555555555555555,2.0,,,
1978.0,300.7300748872822,8.154667394711451,17.95140148048001,45.06711158798283,1.8979423606836598,0.1474603418254106,0.8807281149232448,0.17557437437929177,25.0,5.0,4.0,4.0
1980.0,300.9613252883154,,,,0.7501588971932459,9.090909090909092,1.9350000000000005,5.555555555555555,24.0,,,
1982.0,303.09544009794394,8.019883893020602,16.45284395418875,44.33,0.7919523363446281,6.666666666666667,0.8333333333333334,4.166666666666667,52.0,1.0,1.0,1.0
1984.0,304.1213028508067,8.121122377439404,17.19157891105799,44.95,0.6529142486929437,0.04500000000000082,1.9350000000000005,0.05999999999999872,45.0,2.0,2.0,2.0
1986.0,305.2115440551141,7.778694155023703,18.042007590091252,44.750511182108625,0.9243129482649265,0.15368382549849338,0.5769385488231394,0.1321065284495273,32.0,7.0,6.0,6.0
1988.0,307.1532895835794,7.64951665506431,17.79057819066117,44.523352941176476,0.9435306634843278,0.1287017492593716,0.8409426859720426,0.2789235487024393,31.0,4.0,4.0,4.0
1990.0,308.8962471470446,7.807614623437291,17.979583243280707,44.57957572992701,1.9889238327885594,0.1412836420056117,0.49758162213429935,0.28713703319899475,37.0,11.0,10.0,10.0
1992.0,309.79907481258994,7.685154635503919,18.361578911057993,44.230000000000004,0.20662221329692199,0.12493494665185215,0.6549999999999994,0.019999999999999574,33.0,2.0,2.0,2.0
1994.0,310.79881606122876,7.572932315493061,18.27993733302107,44.56973827893175,0.7601488993525441,0.33047541310115197,0.6577645889292121,0.26040382652155447,46.0,9.0,9.0,9.0
1996.0,312.34678793205063,,,,0.7986136741047096,9.090909090909092,1.9350000000000005,5.555555555555555,42.0,17.0,17.0,17.0
1998.0,313.9691306490512,7.527220657001308,18.344098680066395,44.70185935637663,0.6957495610580692,0.13294966339281034,0.4590590668451443,0.14858129009552545,32.0,8.0,8.0,8.0
2000.0,315.8241236408641,7.482974206037758,18.11738099078259,44.72081081081081,0.809941473293686,0.097654818147429,0.565159562612779,0.2937387456464274,31.0,7.0,7.0,7.0
2002.0,316.77772509734376,7.523545891539776,17.357257926875434,44.73,0.523457000393215,0.13934507945174382,1.0607321766890023,0.16275407487644744,28.0,4.0,4.0,4.0
2004.0,318.9048005955874,,,,0.835782119876971,9.090909090909092,1.9350000000000005,5.555555555555555,345.0,7.0,7.0,7.0
2006.0,319.98531237088713,7.566666666666666,17.92777777777778,44.675,0.53379046501204,0.38873012632302,0.2641665206215271,0.1785357107135704,555.0,3.0,3.0,3.0
2008.0,322.39986874503325,7.263636363636364,17.927272727272722,44.61555555555555,0.5801544043202378,0.1493788793195911,0.08624393618641055,0.09878271453730304,724.0,2.0,2.0,2.0
2010.0,324.3453796161374,7.1,17.886046511627907,44.446961325966846,0.7643417567075353,0.08164965809277268,0.11428523139819198,0.08828722367044624,747.0,3.0,3.0,3.0
2012.0,326.24566806712795,7.157142857142857,18.18,44.55454545454545,0.7273569972177684,0.04948716593053962,0.03999999999999915,0.04979295977319762,713.0,2.0,2.0,2.0
2014.0,328.4394112033074,6.838682336237468,,,0.7384741827243607,0.19087404764662455,1.9350000000000005,5.555555555555555,449.0,97.0,97.0,97.0
2016.0,329.6436593542887,,17.672784555956166,44.45939494473505,1.0473334241139867,9.090909090909092,0.5025619990157091,0.12669156723439612,56.0,32.0,32.0,32.0
2018.0,331.33750298375077,6.574448052584363,17.877406945555112,44.310801759996885,0.5476412395577556,0.13316545279727846,0.18976730512875986,0.1901007888767149,35.0,26.0,26.0,26.0
2020.0,,,,,5.55908940385023,9.090909090909092,1.9350000000000005,5.555555555555555,,,,
