Age,Name,Archive,N2O_ppb,sd_N2O_ppb,d15Nbulk_permil,sd_d15Nbulk_permil,SP_permil,sd_SP_permil,d18O_permil,sd_d18O_permil
1997,H72,firn air,312.0,2.0,7.4,0.1,,,44.7,0.5
1997,H72,firn air,312.5,2.0,7.3,0.1,,,44.6,0.5
1998,H72,firn air,312.7,2.0,7.3,0.1,,,44.6,0.5
1999,H72,firn air,314.3,2.0,7.1,0.2,,,44.6,0.5
1942,NEEM08,firn air,290.4,0.5,,,,,,
1942,NEEM08,firn air,290.2,0.5,,,16.3,0.7,44.9,0.1
1953,NEEM08,firn air,291.3,0.5,,,15.1,0.5,45.1,0.2
1957,NEEM08,firn air,,,8.5,0.1,,,,
1965,NEEM08,firn air,294.1,0.5,,,18.1,0.8,45.2,0.1
1965,NEEM08,firn air,293.7,0.5,,,,,,
1973,NEEM08,firn air,297.0,0.5,,,19.0,2.5,44.9,0.0
1976,NEEM08,firn air,,,7.7,0.1,,,,
1981,NEEM08,firn air,301.2,0.5,,,18.5,0.5,45.1,0.2
1981,NEEM08,firn air,301.6,0.5,,,,,,
1987,NEEM08,firn air,,,7.3,0.1,,,,
1991,NEEM08,firn air,308.4,0.5,,,17.9,1.3,44.7,0.1
1991,NEEM08,firn air,308.7,0.5,,,,,,
1998,NEEM08,firn air,313.2,0.5,7.0,0.1,,,,
2001,NEEM08,firn air,315.8,0.5,7.0,0.0,,,44.6,0.1
2002,NEEM08,firn air,316.8,0.5,7.0,0.1,,,,
2003,NEEM08,firn air,318.1,0.5,,,19.1,1.3,44.5,0.2
2004,NEEM08,firn air,318.2,0.5,6.9,0.1,18.9,0.8,44.5,0.1
2005,NEEM08,firn air,,,6.8,0.1,,,,
2006,NEEM08,firn air,319.4,0.5,6.8,0.1,,,44.2,0.1
2007,NEEM08,firn air,320.0,0.5,,,,,,
2007,NEEM08,firn air,320.7,0.5,6.7,0.1,18.6,1.0,44.3,0.0
2008,NEEM08,firn air,321.2,0.5,6.7,0.1,18.8,0.6,44.4,0.1
2008,NEEM08,firn air,321.6,0.5,,,17.8,0.5,44.5,0.1
2008,NEEM08,firn air,322.4,0.5,,,,,44.5,0.2
2008,NEEM08,firn air,321.2,0.5,,,,,,
2008,NEEM08,firn air,321.5,0.5,,,,,,
1943,NEEM09,firn air,290.4,1.5,,,,,,
1949,NEEM09,firn air,290.9,1.5,,,,,,
1956,NEEM09,firn air,291.4,1.5,,,,,,
1958,NEEM09,firn air,,,8.5,0.1,,,45.1,0.2
1962,NEEM09,firn air,293.6,1.5,,,,,,
1977,NEEM09,firn air,299.3,1.5,7.7,0.1,,,,
1987,0,firn air,,,,,16.6,0.4,,
1988,NEEM09,firn air,304.7,1.5,7.3,0.1,,,44.5,0.3
1999,NEEM09,firn air,312.8,1.5,7.0,0.1,18.0,0.4,44.5,0.2
2002,NEEM09,firn air,317.4,1.5,7.0,0.0,18.0,0.3,44.5,0.1
2003,NEEM09,firn air,316.8,1.5,7.0,0.1,17.2,0.3,44.5,0.2
