FID,ID,X,Y,RASTERVALU
0,1,-179.750000000000000,71.250000000000000,1.722240090000000
1,2,-179.750000000000000,68.750000000000000,1.182240010000000
2,3,-179.750000000000000,68.250000000000000,1.275240060000000
3,4,-179.750000000000000,67.750000000000000,1.655840040000000
4,5,-179.750000000000000,67.250000000000000,1.489799980000000
5,6,-179.750000000000000,66.750000000000000,2.219640020000000
6,7,-179.750000000000000,66.250000000000000,-9999.000000000000000
7,8,-179.750000000000000,65.750000000000000,2.746999980000000
8,9,-179.750000000000000,65.250000000000000,-9999.000000000000000
9,22,-179.250000000000000,71.250000000000000,1.612879990000000
10,23,-179.250000000000000,68.750000000000000,1.593680020000000
11,24,-179.250000000000000,68.250000000000000,1.351639990000000
12,25,-179.250000000000000,67.750000000000000,1.505160090000000
13,26,-179.250000000000000,67.250000000000000,1.931120040000000
14,27,-179.250000000000000,66.750000000000000,2.071480040000000
15,39,-178.750000000000000,71.250000000000000,1.667720080000000
16,40,-178.750000000000000,68.250000000000000,1.721719980000000
17,41,-178.750000000000000,67.750000000000000,1.827439900000000
18,42,-178.750000000000000,67.250000000000000,2.193399910000000
19,43,-178.750000000000000,66.750000000000000,1.966319920000000
20,44,-178.750000000000000,66.250000000000000,-9999.000000000000000
21,56,-178.250000000000000,71.250000000000000,1.600160000000000
22,57,-178.250000000000000,68.250000000000000,1.642559890000000
23,58,-178.250000000000000,67.750000000000000,2.008880140000000
24,59,-178.250000000000000,67.250000000000000,1.965839980000000
25,60,-178.250000000000000,66.750000000000000,1.698159930000000
26,61,-178.250000000000000,66.250000000000000,2.666359900000000
27,62,-178.250000000000000,65.750000000000000,2.732599970000000
28,74,-177.750000000000000,71.250000000000000,-9999.000000000000000
29,75,-177.750000000000000,68.250000000000000,1.887600060000000
30,76,-177.750000000000000,67.750000000000000,1.923359990000000
31,77,-177.750000000000000,67.250000000000000,2.168959860000000
32,78,-177.750000000000000,66.750000000000000,1.715640070000000
33,79,-177.750000000000000,66.250000000000000,2.373879910000000
34,80,-177.750000000000000,65.750000000000000,2.579040050000000
35,92,-177.250000000000000,67.750000000000000,1.962880130000000
36,93,-177.250000000000000,67.250000000000000,2.103319880000000
37,94,-177.250000000000000,66.750000000000000,2.264639850000000
38,95,-177.250000000000000,66.250000000000000,2.141760110000000
39,96,-177.250000000000000,65.750000000000000,-9999.000000000000000
40,97,-177.250000000000000,51.750000000000000,-9999.000000000000000
41,109,-176.750000000000000,67.750000000000000,2.042040110000000
42,110,-176.750000000000000,67.250000000000000,2.016000030000000
43,111,-176.750000000000000,66.750000000000000,1.992879870000000
44,112,-176.750000000000000,66.250000000000000,2.113719940000000
45,113,-176.750000000000000,65.750000000000000,-9999.000000000000000
46,114,-176.750000000000000,51.750000000000000,-9999.000000000000000
47,126,-176.250000000000000,67.750000000000000,2.020239830000000
48,127,-176.250000000000000,67.250000000000000,1.991439940000000
49,128,-176.250000000000000,66.750000000000000,2.007479910000000
50,129,-176.250000000000000,66.250000000000000,1.921360020000000
51,130,-176.250000000000000,65.750000000000000,2.382319930000000
52,144,-175.750000000000000,67.750000000000000,2.044880150000000
53,145,-175.750000000000000,67.250000000000000,2.093359950000000
54,146,-175.750000000000000,66.750000000000000,2.106519940000000
55,147,-175.750000000000000,66.250000000000000,1.977159980000000
56,148,-175.750000000000000,65.750000000000000,2.335000040000000
57,149,-175.750000000000000,65.250000000000000,2.827440020000000
58,161,-175.250000000000000,67.250000000000000,2.112879990000000
59,162,-175.250000000000000,66.750000000000000,2.063640120000000
60,163,-175.250000000000000,66.250000000000000,2.200400110000000
61,164,-175.250000000000000,65.750000000000000,2.286959890000000
62,165,-175.250000000000000,65.250000000000000,2.121279950000000
63,177,-174.750000000000000,67.250000000000000,-9999.000000000000000
64,178,-174.750000000000000,66.250000000000000,2.137880090000000
65,179,-174.750000000000000,65.750000000000000,2.301680090000000
66,180,-174.750000000000000,65.250000000000000,2.480079890000000
67,192,-174.250000000000000,66.250000000000000,2.281960010000000
68,193,-174.250000000000000,65.750000000000000,2.013639930000000
69,194,-174.250000000000000,65.250000000000000,2.228559970000000
70,195,-174.250000000000000,64.750000000000000,-9999.000000000000000
71,207,-173.750000000000000,66.750000000000000,2.120919940000000
72,208,-173.750000000000000,66.250000000000000,2.122920040000000
73,209,-173.750000000000000,65.750000000000000,2.407559870000000
74,210,-173.750000000000000,65.250000000000000,2.576119900000000
75,211,-173.750000000000000,64.750000000000000,2.679880140000000
76,223,-173.250000000000000,66.750000000000000,2.149919990000000
77,224,-173.250000000000000,66.250000000000000,2.234319930000000
78,225,-173.250000000000000,65.750000000000000,2.434400080000000
79,226,-173.250000000000000,65.250000000000000,2.355400090000000
80,227,-173.250000000000000,64.750000000000000,2.845040080000000
81,239,-172.750000000000000,66.750000000000000,2.018319850000000
82,240,-172.750000000000000,66.250000000000000,2.180799960000000
83,241,-172.750000000000000,65.750000000000000,2.422559980000000
84,242,-172.750000000000000,65.250000000000000,2.529320000000000
85,254,-172.250000000000000,66.750000000000000,2.069000010000000
86,255,-172.250000000000000,66.250000000000000,1.966319920000000
87,256,-172.250000000000000,65.750000000000000,-9999.000000000000000
88,257,-172.250000000000000,65.250000000000000,2.668519970000000
89,258,-172.250000000000000,64.750000000000000,-9999.000000000000000
90,271,-171.750000000000000,66.750000000000000,2.070919990000000
91,272,-171.750000000000000,66.250000000000000,1.966919900000000
92,273,-171.750000000000000,65.750000000000000,2.080320120000000
93,285,-171.250000000000000,66.250000000000000,2.187639950000000
94,297,-170.750000000000000,66.250000000000000,2.336839910000000
